1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
19850908,19861211,19871229,19880720,19890810,19900703,19910710,19920615,19930812,19940731,19950719,19960710,19970609,19980507,19990716,20000829,20010518,20020330,20030212,20040313,20050530,20060325,20070420,20080422,20090429,20110524,20110609,20120612,20130516,20140714,20150615
19850903,19861205,NaN,19880721,19890716,19900724,19910715,19920624,19930823,19940720,19950705,19960724,19970610,19980427,19990803,20000905,20010518,20020402,20030220,20040317,20050427,20060417,20070503,20080427,20090514,20100407,20110511,20120612,20130528,20140714,20150629
19850904,19870101,NaN,19880720,19890723,19900704,19910723,19920621,19930812,19940802,19950810,19960716,19970611,19980428,19990715,20000901,20010530,20020407,20030214,20040327,20050603,20060602,20070425,20080427,20090607,20100413,20110511,20120612,20130603,20140714,20150629
19850902,NaN,NaN,19880819,19890710,19900719,19910713,19920625,19930823,19940727,19950828,19960718,19970612,19980428,19990716,20000914,20010530,20020413,20030213,20040331,20050508,20060423,20070420,20080507,20090510,20100502,20110621,20120612,20130603,20140714,20150629
19850909,NaN,NaN,19880723,19890720,19900705,19910729,19920714,19930822,19940803,19950731,19960810,19970624,19980427,19990727,20000901,20010622,20020416,20030214,20040403,20050518,20060330,20070418,20080501,20090508,20100421,20110524,20120626,20130528,20140729,20150629
19850911,NaN,NaN,19880727,19890717,19900710,19910719,19920706,19930823,19940813,19951109,19960721,19970611,19980504,19990805,20000910,20010613,20020421,20030224,20040403,20050607,20060329,20070421,20080503,20090701,20100421,20110629,20120702,20130528,20140729,20150629
19850915,NaN,NaN,19880805,19890716,19900712,19910716,19920721,19930901,19940802,19950908,19960821,19970615,19980501,19990808,20000904,20010617,20020420,20030218,20040411,20050521,20060509,20070422,20080505,20090513,20100421,20110706,20120702,20130618,20140729,20150629
19850915,NaN,NaN,19880802,19890723,19900906,19910716,19920705,19930823,19940803,19950823,19960725,19970616,19980505,19990823,20000906,20010620,20020419,20030221,20040505,20050527,20060417,20070430,20080522,20090521,20100421,20110613,20120626,20130618,20140908,20150629
19851015,NaN,NaN,19880731,19890727,19900820,19910722,19920709,19930822,19940808,19950810,19960802,19970617,19980507,19990910,20000905,20010623,20020422,20030222,20040406,20050531,20060425,20070504,20080518,20090521,20100422,20110613,20120702,20130627,20140729,20150629
19850915,NaN,NaN,19880804,19890720,19900726,19910720,19920712,19930827,19940810,19950818,19960722,19970620,19980507,19990808,20000908,20010622,20020429,20030217,20040409,20050528,20060405,20070502,20080512,20090521,20100504,20110606,20120709,20130618,20140819,20150629
19850925,NaN,NaN,19880910,19890726,19900804,19910722,19920710,19930828,19940804,19950818,19960723,19970621,19980511,19990807,20000917,20010623,20020507,20030224,20040418,20050613,20060403,20070501,20080512,20090528,20100514,20110613,20120716,20130627,20140819,20150721
19850928,NaN,NaN,19880806,19890727,19900804,19910720,19920720,19930830,19940811,19950823,19960803,19970620,19980513,19990808,20000917,20010621,20020509,20030224,20040511,20050530,20060403,20070501,20080525,20090526,20100506,20110729,20120723,20130627,20140819,20150721
19851008,NaN,NaN,19880820,19890729,19900731,19910726,19920810,19930904,19940817,19950818,19960830,19970628,19980510,19990809,20000918,20010626,20020426,20030224,20040411,20050529,20060406,20070507,20080522,20090612,20100508,20110621,20120716,20130715,20140908,20150721
19851012,NaN,NaN,19880808,19890725,19900802,19910803,19920720,19930917,19940808,19950826,19960825,19970623,19980513,19990815,20001021,20010630,20020429,20030324,20040416,20050610,20060522,20070525,20080527,20090624,20100523,20110613,20120709,20130715,20140908,20150819
19851028,NaN,NaN,19880818,19890731,19900803,19910728,19920729,19930915,19940810,19950827,19960810,19970623,19980513,19990816,20000922,20010629,20020427,20030223,20040502,20050604,20060417,20070507,20080605,20090622,20100523,20110621,20120725,20130715,20140819,20150819
19851017,NaN,NaN,19880816,19890727,19900808,19910726,19920723,19930922,19940810,19950829,19960809,19970626,19980517,19990821,20000922,20010719,20020528,20030317,20040503,20050617,20060511,20070525,20080528,20090622,20100524,20110629,20120716,20130715,20140908,20150721
19851020,NaN,NaN,19880815,19890731,19900811,19910727,19920807,19930928,19940816,19950828,19960811,19970826,19980516,19990825,20000920,20010706,20020428,20030228,20040416,20050701,20060410,20070509,20080528,20090622,20100510,20110621,20120829,20130715,20140908,20150819
19851020,NaN,NaN,19880825,19890731,19900811,19910731,19920731,19931008,19940811,19950906,19960811,19970629,19980520,19990907,20000930,20010716,20020429,20030307,20040516,20050610,20060407,20070507,20080605,20090622,20100628,20110621,20120723,20130715,20140819,20150721
19851021,NaN,NaN,19880814,19890729,19900814,19910731,19920915,19930928,19940810,19950920,19960830,19970705,19980606,19990902,20000921,20010713,20020531,20030310,20040417,20050612,20060603,20070512,20080605,20090628,20100626,20110621,20120806,20130807,20140904,20150721
19851030,NaN,NaN,19880815,19890730,19900824,19910730,19920903,19930929,19940815,19950906,19960825,19970705,19980522,19990913,20001005,20010810,20020502,20030311,20040419,20050617,20060524,20070518,20080605,20090717,20100524,20110621,20120723,20130807,20140904,20150721
19851109,NaN,NaN,19880817,19890807,19900825,19910803,19920820,19931012,19940818,19950915,19960907,19970703,19980521,19990907,20001017,20010709,20020508,20030316,20040502,20050721,20060427,20070613,20080625,20090706,20100524,20110621,20120723,20130807,20140908,20150819
19851122,NaN,NaN,19880823,19890731,19900908,19910806,19920809,19931003,19940823,19950918,19960907,19970704,19980525,19990908,20001019,20010710,20020528,20030317,20040425,20050620,20060425,20070521,20080603,20090706,20100524,20110706,20120725,20130821,20140904,20150805
19851204,NaN,NaN,19880825,19890920,19900823,19910806,19920815,19931015,19940824,19950908,19960906,19970705,19980524,19990907,20001014,20010713,20020511,20030315,20040501,20050625,20060509,20070513,20080703,20090706,20100531,20110629,20120725,20130807,20140908,20150805
19851205,NaN,NaN,19880825,19890731,19900827,19910807,19920820,19931012,19940824,19950912,19960913,19970706,19980525,19990914,20001018,20010711,20020606,20030328,20040501,20050630,20060415,20070613,20080622,20090706,20100611,20110629,20120730,20130807,20140908,20150805
19851231,NaN,NaN,19880906,19890731,19900901,19910809,19920929,19931005,19940827,19950922,19960913,19970724,19980521,19990908,20001015,20010712,20020509,20030321,20040511,20050620,20060418,20070518,20080703,20090717,20100601,20110706,20120730,20131014,20141011,20150805
NaN,NaN,NaN,19881003,19890807,19900901,19910805,19920822,19931008,19940829,19950918,19960915,19970715,19980523,19990914,20001022,20010715,20020608,20030322,20040511,20050805,20060424,20070605,20080620,20090715,20100531,20110722,20120806,20130821,20140908,20150805
NaN,NaN,NaN,19880902,19890802,19900904,19910809,19920831,19931021,19940831,19950922,19960919,19970809,19980530,19990913,20001026,20010716,20020512,20030319,20040517,20050630,20060418,20070614,20080622,20090717,20100607,20110722,20120829,20130821,20141011,20150805
NaN,NaN,NaN,19880823,19890803,19900910,19910809,19920823,19931020,19940902,19951016,19960914,19970809,19980601,19991012,20001025,20010718,20020518,20030331,20040515,20050627,20060424,20070627,20080622,20090717,20100613,20110722,20120806,20130821,20141011,20150819
NaN,NaN,NaN,19880822,19890802,19900909,19910813,19920827,19931103,19940830,19950925,19960918,19970714,19980531,19991010,20001023,20010803,20020515,20030325,20040523,20050628,20060424,20070521,20080623,20090716,20100611,20110706,20120806,20130821,20141011,20150911
NaN,NaN,NaN,19880824,19890807,19900914,19910812,19920828,19931102,19940907,19951002,19960920,19970722,19980603,19991215,20001026,20010721,20020520,20030321,20040526,20050629,20060423,20070606,20080627,20090716,20100626,20110722,20120806,20130916,20141011,20150819
NaN,NaN,NaN,19880915,19890807,19900921,19910820,19920902,19931116,19940905,19951019,19960924,19970729,19980601,19991011,20001031,20010722,20020529,20030505,20040601,20050719,20060421,20070526,20080630,20090719,20100617,20110722,20120806,20130916,20141011,20150911
NaN,NaN,NaN,19880825,19890807,19900920,19910812,19920830,19931106,19940903,19950928,19961001,19970801,19980602,19990918,20001030,20010722,20020622,20030404,20040601,20050715,20060515,20070526,20080707,20090719,20100630,20110722,20120806,20130920,20141011,20150911
NaN,NaN,NaN,19880829,19890810,19900918,19910813,19920901,19931115,19940907,19950924,19961004,19970713,19980608,19990916,20001031,20010725,20020531,20030326,20040528,20050703,20060531,20070529,20080714,20090718,20100624,20110722,20120806,20131014,20141011,20150911
NaN,NaN,NaN,19880903,19890809,19900926,19910813,19921015,19931114,19941218,19950924,19961113,19970730,19980605,19990929,20001104,20010726,20020605,20030411,20040601,20050630,20060531,20070527,20080711,20090719,20100626,20110729,20120907,20131014,20141011,20151001
NaN,NaN,NaN,19880906,19890825,19900925,19910814,19920903,19931116,19940914,19950924,19961028,19970718,19980607,19991029,20001107,20010729,20020605,20030327,20040602,20050702,20060428,20070528,20080712,20090719,20100712,20110729,20120820,20131014,20141027,20151013
