1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NaN,NaN,NaN,7000000,670000,NaN,NaN,31000000,570000000,NaN,2000000,NaN,NaN,1270000000,8000000000,30000000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,240000000,NaN,NaN,NaN,NaN,NaN,NaN
100000,36000000,NaN,NaN,NaN,43478,6000000,NaN,NaN,NaN,NaN,1000000000,NaN,NaN,NaN,75000000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,40000000,NaN,150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50000000,NaN,4000000,238000000,NaN,NaN,NaN,NaN,50000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40000000,NaN,NaN,NaN,NaN,150000000,300000000,NaN,NaN,NaN,NaN,NaN,9900000,2500000000,NaN,50000000,7500000,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,12000000,NaN,725000,3000000000,500000,100000000,NaN,2200000,NaN,NaN,NaN,NaN,NaN,NaN,76000000,NaN,NaN,30000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,20000000,NaN,NaN,16000000,3600000,NaN,NaN,180000000,NaN,NaN,NaN,NaN,NaN,14300000,6000000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,300000,NaN,NaN,1500000,NaN,3700000,220000000,444000,NaN,450000000,180000,100000000,6154000,NaN,NaN,1450000,NaN,NaN,NaN,0,0,390000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,12800000,NaN,NaN,NaN,44000000,1000000,NaN,27000000,330000000,15000000,NaN,NaN,NaN,NaN,21500000,102915952,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95000000,NaN,266000,NaN,NaN,NaN,177000000,965000,NaN,NaN,250000000,NaN,12000000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45000000,896000,NaN,NaN,NaN,700000000,2300000,NaN,NaN,NaN,66000000,7000000,27000000,NaN,NaN,2000000,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121000000,NaN,NaN,85000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,720000000,0,4130000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,20000,NaN,1600000,NaN,15000000,NaN,NaN,3900000,782000000,NaN,NaN,NaN,20000000,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,31250000,211000000,NaN,NaN,NaN,NaN,NaN,NaN,2675000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10000000,NaN,NaN,56000000,NaN,NaN,300000,76000000,2600000,10425000,5000000,980000,NaN,NaN,3000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,660000000,NaN,NaN,NaN,1500000000,240000000,20000000,NaN,NaN,19500000,1000000,1015000000,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,100000000,NaN,NaN,56660000,78000000,8000000,15000000000,13500000,NaN,NaN,675000000,NaN,80000000,NaN,NaN,4500000,NaN,37000000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,6000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169000000,NaN,NaN,NaN,NaN,NaN,217000000,0,19000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
308000000,NaN,NaN,167000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15000000,NaN,NaN,NaN,NaN,120000000,30000000,NaN,NaN,NaN,1000000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26000000,NaN,NaN,750000000,NaN,NaN,3000000,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8000000,NaN,NaN,NaN,54000000,NaN,NaN,NaN,NaN,100000000,NaN,NaN,NaN,NaN,20500000,28000000,NaN,NaN,NaN,2600000,10000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,30000000,83000000,NaN,NaN,NaN,NaN,NaN,53700000,NaN,NaN,8800000,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
447000000,NaN,NaN,NaN,NaN,NaN,105000000,4000000,NaN,NaN,10000000,2353000000,241000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4600000,0,0,NaN,NaN,20000000,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,200000000,NaN,NaN,364000000,NaN,7300000,19000000,NaN,140000000,71000000,NaN,NaN,700000000,NaN,NaN,NaN,NaN,383000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4873782,NaN,NaN,14200000,NaN,NaN,NaN,3600000,NaN,NaN,246000000,200000000,NaN,NaN,181000000,NaN,NaN,3000000,NaN,15200000,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3600000,NaN,NaN,NaN,231000000,NaN,NaN,120000000,5000000,NaN,NaN,NaN,NaN,48000000,NaN,NaN,2980000000,NaN,NaN,NaN,2000000,44600000,45000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,148000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200000000,NaN,400000000,0,0,NaN,59000000,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,15200000,NaN,NaN,3200000,NaN,880000000,NaN,550000,NaN,NaN,3600000,2700000,NaN,116924380.4,NaN,NaN,25000000,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3500000,NaN,NaN,3500000,7800000,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000000,NaN,NaN,125000000,47320000,NaN,33000000,NaN,NaN,NaN,258000000,NaN,NaN,2400000,NaN,NaN,13540000,NaN,NaN,NaN,62000000,8600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000000,NaN,NaN,NaN,NaN,NaN,NaN,110000000,50000000,NaN,750000000,NaN,NaN,NaN,NaN,NaN,20000000,13000000,NaN,3000000,50000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,25000000,1400000000,10400000,NaN,NaN,NaN,252000,NaN,NaN,247000000,NaN,NaN,50000000,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,117924528.3,NaN,NaN,1000000000,NaN,3000000,NaN,NaN,NaN,NaN,18000000,277000000,5900000000,5700000,NaN,NaN,NaN,180700000,12000000,0,1500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6790000,1260000000,300000000,2000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,852000000,0,NaN,2000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,56000000,NaN,NaN,9600000,NaN,35000000,14400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75000000,4000000,NaN,NaN,2000000000,NaN,50000000,73800000,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,640000000,NaN,NaN,NaN,NaN,NaN,NaN,155000000,NaN,NaN,NaN,75000000,NaN,25000000,NaN,53500000,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,3000000,NaN,NaN,NaN,NaN,76000,34700000,3000000,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,1000000,20000000000,6500000,NaN,NaN,NaN,NaN,NaN,3000000000,7800000,250000000,2000000,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,400000000,566000000,NaN,NaN,12000000,NaN,NaN,NaN,NaN,NaN,NaN,25000000,NaN,NaN,32000000,23000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,2000000000,NaN,NaN,NaN,350000000,NaN,NaN,NaN,NaN,268000000,NaN,21000000,12500000,NaN,943000000,NaN,NaN,2700000,0,337000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,256000000,NaN,1240000,NaN,NaN,30000000,NaN,NaN,100000000,NaN,NaN,24000000,3000000000,NaN,50000000,NaN,NaN,2300000000,36000000,73500000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,900000,NaN,NaN,NaN,5000000,NaN,NaN,10000000,5100000,5100000,19000000,NaN,NaN,200000000,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,208000000,23000000,50000000,NaN,NaN,235000000,77000000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,420000,NaN,NaN,NaN,NaN,31700000,NaN,NaN,NaN,3000000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,147600000,NaN,20000000,1500000,NaN,NaN,20000000,7000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,1000000,NaN,2400000000,NaN,NaN,NaN,NaN,NaN,NaN,265000000,2600000,NaN,NaN,NaN,NaN,271000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,500000000,NaN,290000000,NaN,NaN,39000000,NaN,NaN,NaN,20000000,NaN,NaN,3600000,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,400000000,NaN,NaN,580000,380000,NaN,300000,NaN,NaN,NaN,NaN,NaN,NaN,10000000,NaN,NaN,0,13000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216000000,NaN,NaN,128500000,433000000,NaN,2300000000,NaN,NaN,NaN,NaN,NaN,NaN,0,4250000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5700000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000000,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,12000000,NaN,NaN,700000000,33000000,12000000,NaN,481000000,NaN,NaN,NaN,NaN,NaN,3000000,48000000,16000000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,24000000,1440000,NaN,1500000,NaN,NaN,NaN,NaN,1000000000,500000000,2.1E+11,300000,265000000,NaN,NaN,20000000,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,68200000,NaN,1170000,1000000,NaN,3000000,280000,NaN,NaN,NaN,240000000,555000,3000000,NaN,NaN,NaN,9000000,800000000,0,840000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,4300000,NaN,NaN,NaN,NaN,NaN,232000000,20000000,NaN,NaN,30000000,15000000,NaN,NaN,60000000,NaN,300000000,0,0,300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,1200000,NaN,NaN,6400000,NaN,80000000,437700000,300000000,NaN,NaN,NaN,NaN,NaN,12000000,400000000,NaN,3600000,NaN,0,0,356000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50000000,NaN,NaN,370000000,41000000,NaN,560000,475000000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,1000000,9000000,NaN,NaN,NaN,159000000,NaN,NaN,NaN,NaN,37000000,NaN,94500000,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,6814000000,NaN,NaN,NaN,NaN,1142000000,NaN,1800000000,NaN,3000000,NaN,NaN,NaN,26400000,NaN,NaN,NaN,3500000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,1420000,NaN,NaN,NaN,NaN,NaN,80000000,NaN,NaN,NaN,2000000000,NaN,58000000,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,36400000,NaN,40000000,NaN,NaN,4000000000,90000000,NaN,NaN,221700000,6300000,NaN,8300000,NaN,NaN,NaN,NaN,26000000,28000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,100000000,NaN,NaN,NaN,500000000,6300000,NaN,174100000,NaN,NaN,NaN,NaN,NaN,17000000,360000000,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,14170815.78,NaN,12800000,NaN,NaN,7400000,NaN,NaN,4000000,10000000,NaN,NaN,NaN,100900000,12000000,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,61570000,NaN,NaN,NaN,3000000,7000000,1800000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,75000,36000000,NaN,NaN,NaN,NaN,NaN,125000000,NaN,NaN,NaN,24000000,36000000,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,62000000,NaN,167000,NaN,NaN,NaN,NaN,60000000,52000000,NaN,469000000,NaN,NaN,NaN,1500000,NaN,11200000,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,24000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20000000,NaN,6900000,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,80000000,NaN,7000000,NaN,171400000,2000000,NaN,NaN,205000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,42000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,13900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,312500000,NaN,NaN,NaN,200000000,NaN,NaN,NaN,393000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,400000,NaN,NaN,1000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400000,50740000,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1500000,95000000,NaN,NaN,2600000,NaN,NaN,NaN,NaN,1500000000,60000000,913000000,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,2300000,NaN,1210000,NaN,NaN,NaN,NaN,NaN,NaN,24000000,NaN,NaN,NaN,NaN,0,22000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,172000000,NaN,NaN,14630000,NaN,NaN,NaN,100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,625000000,125000000,60000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,3000000,NaN,NaN,NaN,NaN,NaN,NaN,3400000000,NaN,NaN,NaN,437000000,NaN,NaN,NaN,2625000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93574547.72,723684,NaN,30000000,NaN,116130000,0,6650000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,600000000,NaN,NaN,NaN,NaN,NaN,11110000,NaN,NaN,NaN,NaN,130000000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160000000,NaN,NaN,NaN,NaN,NaN,17000000,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1310000000,NaN,NaN,200000000,3000000,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
