,region,district,year,month,mean_mon_rainfall_mm
738,Ashanti,Asante Akim South,1981,2,59.67533
739,Ashanti,Ejura Sekye Dumasi,1981,2,7.386656
740,Brong Ahafo,Asutifi,1981,2,20.86511
741,Brong Ahafo,Berekum,1981,2,22.039883
742,Brong Ahafo,Techiman,1981,2,16.142097
743,Central,Ajumanku / Enyan / Essiam,1981,2,45.8818
744,Central,Abura / Asebu / Kwamankese,1981,2,13.951729
745,Central,Asikuma / Odoben / Brakwa,1981,2,48.083366
746,Central,Cape Coast,1981,2,12.044677
747,Central,Komenda / Edina / Eguafo / Abirem,1981,2,19.252909
748,Central,Mfantsiman,1981,2,29.377495
749,Central,Twifo / Heman / Lower Denkyira,1981,2,34.52306
750,Eastern,Akwapim North,1981,2,51.42337
751,Eastern,Akwapim South,1981,2,50.190655
752,Eastern,Asuogyaman,1981,2,41.27286
753,Eastern,Fanteakwa,1981,2,65.019684
754,Eastern,Kwaebibirem,1981,2,94.94742
755,Eastern,New Juaben Municipal,1981,2,60.803074
756,Eastern,Suhum / Kraboa Coaltar,1981,2,68.79614
757,Eastern,West Akim,1981,2,78.23552
758,Eastern,Yilo Krobo,1981,2,53.334087
759,Greater Accra,Dangbe East,1981,2,19.154226
760,Greater Accra,Dangbe West,1981,2,31.438736
761,Upper West,Lawra,1981,2,1.7449228
762,Upper West,Nadowli,1981,2,1.7855873
763,Volta,Keta Municipal,1981,2,20.379412
764,Volta,North Tongu,1981,2,30.56798
765,Western,Ahanta West,1981,2,30.740582
766,Western,Aowin / Suaman,1981,2,45.77762
767,Western,Sefwi Bibiani-Ahwiaso Bekwai,1981,2,40.180695
768,Western,Jomoro,1981,2,47.715405
769,Ashanti,K M A,1981,2,32.799145
770,Upper East,Bawku West,1981,2,2.0037997
771,Upper East,Bongo,1981,2,2.2055387
772,Upper East,Builsa,1981,2,1.5681345
773,Northern,West Mamprusi,1981,2,2.022475
774,Northern,Savelugu Nanton,1981,2,3.093572
775,Northern,Tolon Kumbugu,1981,2,2.2233665
776,Northern,Yendi,1981,2,2.598191
777,Northern,Tamale,1981,2,2.7601304
778,Upper West,Wa West,1981,2,2.4699247
779,Upper West,Wa Municipal,1981,2,2.1764677
780,Upper West,Wa East,1981,2,2.1107128
781,Upper East,Bawku Municipal,1981,2,1.2512825
782,Northern,East Mamprusi,1981,2,1.7080353
783,Northern,Central Gonja,1981,2,2.7702534
784,Northern,West Gonja,1981,2,2.4036267
785,Northern,Bole,1981,2,5.737286
786,Northern,Sawla / Tuna / Kalba,1981,2,2.7954016
787,Northern,Nanumba North,1981,2,3.5134473
788,Brong Ahafo,Kintampo,1981,2,4.933909
789,Brong Ahafo,Kintampo South,1981,2,11.571492
790,Brong Ahafo,Wenchi,1981,2,16.530657
791,Brong Ahafo,Tain,1981,2,13.6846
792,Brong Ahafo,Jaman South,1981,2,19.312756
793,Brong Ahafo,Jaman North,1981,2,15.722898
794,Brong Ahafo,Asunafo North,1981,2,21.253853
795,Brong Ahafo,Asunafo South,1981,2,26.47572
796,Brong Ahafo,Tano North,1981,2,22.677843
797,Brong Ahafo,Tano South,1981,2,25.311792
798,Ashanti,Atwima Mponua,1981,2,34.19445
799,Ashanti,Atwima Nwabiagya,1981,2,38.622765
800,Ashanti,Amansie Central,1981,2,51.513588
801,Ashanti,Obuasi Municipal,1981,2,44.963097
802,Ashanti,Adansi North,1981,2,36.373768
803,Western,Bia,1981,2,32.094048
804,Western,Juabeso,1981,2,41.94932
805,Western,Wassa Amenfi East,1981,2,56.039032
806,Western,Wassa Amenfi West,1981,2,46.7956
807,Central,Assin North,1981,2,47.023296
808,Central,Assin South,1981,2,23.905277
809,Volta,Krachi East,1981,2,11.499352
810,Volta,Krachi West,1981,2,5.095218
811,Greater Accra,Ga East,1981,2,32.022976
812,Volta,South Dayi,1981,2,42.3226
813,Volta,Norh Dayi (Kpando),1981,2,30.214363
814,Northern,Karaga,1981,2,2.2886665
815,Northern,Gushiegu,1981,2,2.3227587
816,Brong Ahafo,Pru,1981,2,6.29837
817,Brong Ahafo,Atebubu Amantin,1981,2,11.881271
818,Eastern,Kwahu West,1981,2,69.814384
819,Eastern,Atiwa,1981,2,89.49773
820,Eastern,East Akim,1981,2,91.09924
821,Upper West,Sissala West,1981,2,1.2341021
822,Upper West,Sissala East,1981,2,1.4439423
823,Upper East,Bolgatanga,1981,2,2.3129983
824,Upper East,Talensi Nabdam,1981,2,2.3325102
825,Volta,South Tongu,1981,2,20.362125
826,Upper East,Kasena Nankana East,1981,2,1.7464162
827,Upper East,Kasena Nankana West,1981,2,1.3233428
828,Upper West,Jirapa,1981,2,1.5005312
829,Upper West,Lambussie Karni,1981,2,1.4419614
830,Northern,Kpandai,1981,2,4.506573
831,Northern,East Gonja,1981,2,3.4485557
832,Brong Ahafo,Dormaa East,1981,2,23.684042
833,Brong Ahafo,Dormaa Municipal,1981,2,23.73903
834,Brong Ahafo,Nkoranza South,1981,2,12.574289
835,Brong Ahafo,Nkoranza North,1981,2,8.783088
